x: 0.000000	y: 0.000000
x: 60.537139	y: 34.902129
x: 120.905918	y: 69.609228
x: 181.107701	y: 104.122354
x: 241.143837	y: 138.442550
x: 301.015655	y: 172.570847
x: 360.724470	y: 206.508261
x: 420.271578	y: 240.255797
x: 479.658260	y: 273.814445
x: 538.885782	y: 307.185186
x: 597.955393	y: 340.368984
x: 656.868326	y: 373.366796
x: 715.625802	y: 406.179563
x: 774.229022	y: 438.808215
x: 832.679178	y: 471.253673
x: 890.977443	y: 503.516845
x: 949.124978	y: 535.598627
x: 1007.122929	y: 567.499905
x: 1064.972430	y: 599.221555
x: 1122.674600	y: 630.764441
