T: 1.000000	C: 0.016334
T: 1.100000	C: 0.026046
T: 1.200000	C: 0.045848
T: 1.300000	C: 0.067252
T: 1.400000	C: 0.099957
T: 1.500000	C: 0.146433
T: 1.600000	C: 0.180821
T: 1.700000	C: 0.257300
T: 1.800000	C: 0.330880
T: 1.900000	C: 0.445372
T: 2.000000	C: 0.588408
T: 2.100000	C: 0.828403
T: 2.200000	C: 0.994093
T: 2.300000	C: 1.150996
T: 2.400000	C: 1.173669
T: 2.500000	C: 1.018445
T: 2.600000	C: 0.853913
T: 2.700000	C: 0.630499
T: 2.800000	C: 0.494689
T: 2.900000	C: 0.404677
T: 3.000000	C: 0.352615
T: 3.100000	C: 0.303484
T: 3.200000	C: 0.251482
T: 3.300000	C: 0.225079
T: 3.400000	C: 0.201358
T: 3.500000	C: 0.180659
T: 3.600000	C: 0.157070
T: 3.700000	C: 0.142023
T: 3.800000	C: 0.127978
T: 3.900000	C: 0.118065
T: 4.000000	C: 0.105627
T: 4.100000	C: 0.098368
T: 4.200000	C: 0.087860
T: 4.300000	C: 0.082808
T: 4.400000	C: 0.074441
T: 4.500000	C: 0.070741
T: 4.600000	C: 0.064228
T: 4.700000	C: 0.060686
T: 4.800000	C: 0.055517
T: 4.900000	C: 0.052034
T: 5.000000	C: 0.047793
