T: 1.000000	C: 0.014974
T: 1.050000	C: 0.020439
T: 1.100000	C: 0.027117
T: 1.150000	C: 0.035402
T: 1.200000	C: 0.044329
T: 1.250000	C: 0.055137
T: 1.300000	C: 0.067484
T: 1.350000	C: 0.081986
T: 1.400000	C: 0.097505
T: 1.450000	C: 0.116289
T: 1.500000	C: 0.137356
T: 1.550000	C: 0.161094
T: 1.600000	C: 0.186265
T: 1.650000	C: 0.217548
T: 1.700000	C: 0.250398
T: 1.750000	C: 0.287800
T: 1.800000	C: 0.330269
T: 1.850000	C: 0.382816
T: 1.900000	C: 0.437437
T: 1.950000	C: 0.500621
T: 2.000000	C: 0.588893
T: 2.050000	C: 0.683570
T: 2.100000	C: 0.820106
T: 2.150000	C: 1.003759
T: 2.200000	C: 1.203196
T: 2.250000	C: 1.405862
T: 2.300000	C: 1.543968
T: 2.350000	C: 1.478913
T: 2.400000	C: 1.332701
T: 2.450000	C: 1.082343
T: 2.500000	C: 0.906629
T: 2.550000	C: 0.763146
T: 2.600000	C: 0.670264
T: 2.650000	C: 0.588297
T: 2.700000	C: 0.528465
T: 2.750000	C: 0.485376
T: 2.800000	C: 0.440054
T: 2.850000	C: 0.403469
T: 2.900000	C: 0.374722
T: 2.950000	C: 0.345209
T: 3.000000	C: 0.321032
T: 3.050000	C: 0.299203
T: 3.100000	C: 0.282270
T: 3.150000	C: 0.266876
T: 3.200000	C: 0.250274
T: 3.250000	C: 0.233820
T: 3.300000	C: 0.221428
T: 3.350000	C: 0.209321
T: 3.400000	C: 0.195543
T: 3.450000	C: 0.183994
T: 3.500000	C: 0.174682
T: 3.550000	C: 0.165360
T: 3.600000	C: 0.159145
T: 3.650000	C: 0.149155
T: 3.700000	C: 0.140628
T: 3.750000	C: 0.134530
T: 3.800000	C: 0.128258
T: 3.850000	C: 0.122334
T: 3.900000	C: 0.117271
T: 3.950000	C: 0.110248
