i: 1	corr_func: 0.143939
i: 2	corr_func: 0.076819
i: 3	corr_func: 0.048539
i: 4	corr_func: 0.033139
i: 5	corr_func: 0.020939
i: 6	corr_func: 0.014059
i: 7	corr_func: 0.010419
i: 8	corr_func: 0.010219
i: 9	corr_func: 0.007619
i: 10	corr_func: 0.005699
i: 11	corr_func: 0.002779
i: 12	corr_func: 0.001019
i: 13	corr_func: 0.002659
i: 14	corr_func: 0.005339
i: 15	corr_func: 0.011299
i: 16	corr_func: 0.007899
i: 17	corr_func: 0.010019
i: 18	corr_func: 0.009139
i: 19	corr_func: 0.006339
i: 20	corr_func: 0.005139
i: 21	corr_func: 0.003819
i: 22	corr_func: 0.008379
i: 23	corr_func: 0.009899
i: 24	corr_func: 0.008499
i: 25	corr_func: 0.004499
i: 26	corr_func: 0.004859
i: 27	corr_func: 0.002179
i: 28	corr_func: -0.000861
i: 29	corr_func: -0.002701
i: 30	corr_func: -0.003501
i: 31	corr_func: -0.000781
i: 32	corr_func: -0.002981
i: 33	corr_func: -0.003261
i: 34	corr_func: -0.000141
i: 35	corr_func: -0.001621
i: 36	corr_func: -0.000101
i: 37	corr_func: -0.001621
i: 38	corr_func: -0.001301
i: 39	corr_func: -0.002461
i: 40	corr_func: 0.001059
i: 41	corr_func: 0.001619
i: 42	corr_func: -0.001141
i: 43	corr_func: -0.000141
i: 44	corr_func: 0.000499
i: 45	corr_func: -0.000141
i: 46	corr_func: 0.001859
i: 47	corr_func: 0.002019
i: 48	corr_func: 0.005699
i: 49	corr_func: 0.008979
