i: 1	corr_func: 0.244039
i: 2	corr_func: 0.049199
i: 3	corr_func: 0.016399
i: 4	corr_func: 0.011159
i: 5	corr_func: 0.000039
i: 6	corr_func: -0.000601
i: 7	corr_func: -0.003361
i: 8	corr_func: -0.008721
i: 9	corr_func: -0.012521
i: 10	corr_func: 0.000559
i: 11	corr_func: 0.005879
i: 12	corr_func: -0.002121
i: 13	corr_func: 0.001399
i: 14	corr_func: 0.002759
i: 15	corr_func: 0.008879
i: 16	corr_func: -0.000441
i: 17	corr_func: -0.008601
i: 18	corr_func: -0.008321
i: 19	corr_func: 0.001719
i: 20	corr_func: -0.000721
i: 21	corr_func: 0.000559
i: 22	corr_func: -0.005001
i: 23	corr_func: 0.000879
i: 24	corr_func: 0.006519
i: 25	corr_func: -0.005721
i: 26	corr_func: 0.005359
i: 27	corr_func: 0.010239
i: 28	corr_func: 0.001999
i: 29	corr_func: -0.005921
i: 30	corr_func: 0.003559
i: 31	corr_func: -0.002841
i: 32	corr_func: 0.007839
i: 33	corr_func: 0.005519
i: 34	corr_func: 0.010599
i: 35	corr_func: -0.000441
i: 36	corr_func: -0.006401
i: 37	corr_func: -0.007681
i: 38	corr_func: 0.003039
i: 39	corr_func: 0.003439
i: 40	corr_func: -0.000201
i: 41	corr_func: 0.003839
i: 42	corr_func: -0.001401
i: 43	corr_func: -0.010361
i: 44	corr_func: -0.007001
i: 45	corr_func: -0.016281
i: 46	corr_func: 0.002279
i: 47	corr_func: 0.001639
i: 48	corr_func: -0.006041
i: 49	corr_func: -0.012881
